Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Badge (product.metafields.custom.badge),Benefícios (product.metafields.custom.benefits),Capacidade (product.metafields.custom.capacidade),Nota de dimensões (product.metafields.custom.dimensions_note),Inclui (product.metafields.custom.includes),Tagline (product.metafields.custom.tagline),Garantia (product.metafields.custom.warranty),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
complete-set-5-pieces-mortar,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,"<p>Este é um conjunto versátil que atenderá às diversas necessidades de uma cozinha. Feita à mão com pedra-sabão genuína, esta coleção completa cobre o cozimento do dia a dia — de frigideira e panelas a uma panela de pressão de pedra e uma grelha — e vem com um pilão de pedra-sabão como brinde. Uma cozinha completa em pura pedra, trazendo o sabor autêntico e o calor da cozinha na pedra para a sua mesa.</p><h3>O que está incluso</h3><ul>
<li>1 x Frigideira de 1 litro (18 cm de diâmetro)</li>
<li>1 x Panela de 1,5 litro</li>
<li>1 x Panela de 2 litros</li>
<li>1 x Panela de pressão de 3 litros</li>
<li>1 x Grelha (23 cm de diâmetro)</li>
<li>1 x Pilão de pedra-sabão (brinde)</li>
</ul><h3>Por que pedra-sabão</h3><ul>
<li>Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento.</li>
<li>Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida.</li>
<li>A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos.</li>
<li>As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento.</li>
<li>Pode ser usada em fogão a gás, fogão a lenha e também no forno!</li>
</ul><p><strong>Especificações:</strong> Frigideira 1L + 1,5L + 2L + Panela de Pressão 3L + Grelha · Gás · Fogão a Lenha · Forno</p><p><strong>Garantia:</strong> 3 meses contra defeitos de fabricação.</p><p><em>As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças.</em></p>",Stoneflame,,sets,"artesanal, Conjunto Completo, pedra-sabao, sets",true,Title,Default Title,,,,,,,,COMPLETE_SET_5_PIECES_MORTAR,0.0,shopify,10,deny,manual,3995.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/main_5fcb9851-bd0b-4d5f-8178-ee818bef8f50.png?v=1783967026,1,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,false,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,"Tudo o que sua cozinha precisa, mais um pilão de brinde",,,,,,,,,kg,,,active
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/lifestyle_12209f57-5e22-4de9-a665-43d22de1daef.png?v=1783967026,2,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/pressure-cooker_3d9e86e6-d8e1-4cf4-a75f-86b27eb30907.png?v=1783967026,3,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/grill_cd70f5f9-e8ef-400b-8d17-e01e0062486a.png?v=1783967026,4,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/mortar-pestle.png?v=1783967026,5,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/pot-1.png?v=1783967026,6,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-set-5-pieces-mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/pot-2.png?v=1783967026,7,Conjunto Completo de Panelas de Pedra – 5 Peças + Pilão,,,,,,,,,,,,,,,
complete-soapstone-fondue-set-27cm,Conjunto Completo de Fondue de Pedra-Sabão (Grelha 27 cm),"<p>Em uma única compra, você terá tudo o que precisa para fazer um delicioso bife grelhado e um saboroso fondue de queijo ou chocolate! Produto ideal para 1 a 4 pessoas. Feito à mão com pedra-sabão genuína, este conjunto completo traz o calor e a convivência da cozinha à mesa para os seus encontros — grelhe suas carnes e derreta seu fondue direto na mesa, com garfos de aço inox inclusos.</p><h3>O que está incluso</h3><ul>
<li>1 x Grelha de pedra-sabão de 27 cm</li>
<li>2 x Panela de pedra-sabão, 0,8 L (Altura: 10 cm | Largura: 13 cm)</li>
<li>3 x Rechauds de pedra-sabão</li>
<li>2 x Molheiras (Altura: 5 cm / Largura: 7 cm)</li>
<li>2 x Molheiras (Altura: 5 cm / Largura: 10 cm)</li>
<li>2 x Molheiras (Altura: 5 cm / Largura: 12 cm)</li>
<li>6 x Garfos de fondue de aço inox com cabos de plástico de alta resistência</li>
</ul><h3>Por que pedra-sabão</h3><ul>
<li>Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo seus alimentos quentes por cerca de 1 a 2 horas após o cozimento.</li>
<li>Muito mais saudável! Alguns estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida.</li>
<li>Material 100% natural — não transfere substâncias nocivas para a comida.</li>
<li>Naturalmente antiaderente, facilitando muito a limpeza e o cozimento.</li>
<li>Perfeito para bife grelhado e fondue de queijo ou chocolate, direto na mesa.</li>
</ul><p><strong>Especificações:</strong> Grelha 27cm + 2x Panelas 0,8L + 3 Rechauds + 6 Molheiras + 6 Garfos · Mesa</p><p><strong>Garantia:</strong> 3 meses contra defeitos de fabricação.</p><p><em>As peças de pedra-sabão são enviadas novas em seu estado natural (cinza) e precisam passar por um processo de cura antes do primeiro uso — após a cura, sua peça ficará permanentemente preta (um manual de cura passo a passo está incluído). As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças.</em></p>",Stoneflame,,grills,"artesanal, Conjunto Completo, grills, pedra-sabao",true,Title,Default Title,,,,,,,,COMPLETE_SOAPSTONE_FONDUE_SET_27CM,0.0,shopify,10,deny,manual,2695.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/main_50495050-fd4b-4109-9169-2c12aa30a4ec.png?v=1783967037,1,Conjunto Completo de Fondue de Pedra-Sabão (Grelha 27 cm),false,Conjunto Completo de Fondue de Pedra-Sabão (Grelha 27 cm),Bife grelhado e fondue para 1 a 4 pessoas,,,,,,,,,kg,,,active
complete-soapstone-fondue-set-27cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/alt_8e45bc6a-cad1-4799-86cf-3daf78da6c6c.png?v=1783967037,2,Conjunto Completo de Fondue de Pedra-Sabão (Grelha 27 cm),,,,,,,,,,,,,,,
complete-soapstone-fondue-set-27cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/5091/0122/files/pot-rechaud_7609048e-7a0b-4041-8f2c-ffdb72631136.png?v=1783967037,3,Conjunto Completo de Fondue de Pedra-Sabão (Grelha 27 cm),,,,,,,,,,,,,,,
