"Handle","Title","Option1 Name","Option1 Value","Tagline (product.metafields.custom.tagline)","Capacidade (product.metafields.custom.capacidade)","Badge (product.metafields.custom.badge)","Inclui (product.metafields.custom.includes)","Benefícios (product.metafields.custom.benefits)","Garantia (product.metafields.custom.warranty)","Nota de dimensões (product.metafields.custom.dimensions_note)"
"cookware-set-2-3-4","Conjunto: Panela 2L + Panela 3L + Panela de Pressão 4L + Brinde","Title","Default Title","O conjunto definitivo para quem gosta de cozinhar em maior quantidade!","2L + 3L + 4L · Fogão a Lenha · Gás · Forno","Conjunto Especial","[""1 x Panela de pedra-sabão, 2 litros (Altura: 9,5 cm, diâmetro: 22 cm)"",""1 x Panela de pedra-sabão, 3 litros (Altura: 9,5 cm, diâmetro: 27 cm)"",""1 x Panela de pressão de pedra-sabão de 4 litros (Altura: 15 cm, diâmetro: 25 cm)"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"soapstone-pressure-cooker-7l","Panela de Pressão de Pedra-Sabão - 7 Litros","Title","Default Title","Cozimento sob pressão seguro, redefinido na pedra","7L · Gás · Fogão a Lenha · Forno","Novo","[""1 x Panela de Pressão de Pedra-Sabão de 7 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""100% segura — pode ser aberta durante o cozimento, oferecendo mais controle e tranquilidade."",""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! A pedra-sabão pode transferir minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Totalmente livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Extremamente resistente e durável — quando bem cuidada, pode durar centenas de anos.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"soapstone-pressure-cooker-5l","Panela de Pressão de Pedra-Sabão - 5 Litros","Title","Default Title","Cozimento sob pressão seguro, redefinido na pedra","5L · Gás · Fogão a Lenha · Forno","Novo","[""1 x Panela de Pressão de Pedra-Sabão de 5 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""100% segura — pode ser aberta durante o cozimento, oferecendo mais controle e tranquilidade."",""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! A pedra-sabão pode transferir minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Totalmente livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Extremamente resistente e durável — quando bem cuidada, pode durar centenas de anos.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"soapstone-pressure-cooker-4l","Panela de Pressão de Pedra-Sabão - 4 Litros","Title","Default Title","Cozimento sob pressão seguro, redefinido na pedra","4L · Gás · Fogão a Lenha · Forno","Novo","[""1 x Panela de Pressão de Pedra-Sabão de 4 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""100% segura — pode ser aberta durante o cozimento, oferecendo mais controle e tranquilidade."",""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! A pedra-sabão pode transferir minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Totalmente livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Extremamente resistente e durável — quando bem cuidada, pode durar centenas de anos.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"dutch-soapstone-pot-2in1","Panela Holandesa de Pedra-Sabão 2 em 1","Title","Default Title","Uma panela funda e uma chapa plana em uma só peça","3L · Gás · Fogão a Lenha · Forno","Versátil","[""1 x Panela Holandesa Funda de Pedra-Sabão (Altura: 10 cm, diâmetro: 23 cm, capacidade: 3 litros)"",""1 x Tampa de Pedra-Sabão que funciona como frigideira plana (Altura: 4 cm, diâmetro: 23 cm)"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""Design 2 em 1: uma panela funda para ensopados, sopas e molhos, mais uma tampa que vira frigideira plana."",""A pedra-sabão retém e distribui o calor de maneira uniforme para um cozimento eficiente e preciso."",""A tampa plana permite grelhar, dourar ou fritar — ampliando suas opções culinárias."",""Retém e libera o calor gradualmente, mantendo os alimentos quentes muito tempo após o cozimento."",""Extremamente resistente e durável — quando bem cuidada, pode durar centenas de anos.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"soapstone-pot-5l","Panela de Pedra-Sabão 5 Litros","Title","Default Title","Gerações de ofício de Minas Gerais","5L · Gás · Fogão a Lenha · Forno","Artesanal","[""1 x Panela de Pedra-Sabão de 5 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! Transfere naturalmente minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Feita à mão em Minas Gerais, com uma tradição passada de geração em geração."",""Extremamente forte e durável — quando bem cuidada, pode durar gerações.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"soapstone-pot-4l","Panela de Pedra-Sabão 4 Litros","Title","Default Title","Gerações de ofício de Minas Gerais","4L · Gás · Fogão a Lenha · Forno","Artesanal","[""1 x Panela de Pedra-Sabão de 4 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! Transfere naturalmente minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Feita à mão em Minas Gerais, com uma tradição passada de geração em geração."",""Extremamente forte e durável — quando bem cuidada, pode durar gerações.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"soapstone-pot-3l","Panela de Pedra-Sabão 3 Litros","Title","Default Title","Gerações de ofício de Minas Gerais","3L · Gás · Fogão a Lenha · Forno","Artesanal","[""1 x Panela de Pedra-Sabão de 3 Litros"",""1 x Tampa de Pedra-Sabão Combinando, com Detalhes em Cobre"",""1 x Kit Inicial Culinário Grátis (Óleo de Cura e Ervas Artesanais)""]","[""Retém e libera o calor gradualmente, mantendo os alimentos quentes por 1 a 2 horas após o cozimento."",""Refeições mais saudáveis! Transfere naturalmente minerais benéficos (Ferro, Zinco, Cálcio, Magnésio) para a comida."",""Livre de substâncias tóxicas, garantindo segurança para você e sua família."",""Feita à mão em Minas Gerais, com uma tradição passada de geração em geração."",""Extremamente forte e durável — quando bem cuidada, pode durar gerações.""]","3 meses contra defeitos de fabricação.","Por ser uma peça totalmente artesanal, pequenas variações de dimensões, textura e coloração são normais e tornam sua peça única."
"set-5-soapstone-pots","Conjunto de 5 Panelas de Pedra-Sabão 0,8L | 1L | 1,5L | 2L + Brinde","Title","Default Title","Um conjunto completo de pedra-sabão para toda a família","0,8L + 1L + 1L + 1,5L + 2L · Gás · Fogão a Lenha · Forno","Conjunto Especial","[""1 x Caldeirão de 0,8 litro (11 cm de altura x 13 cm de diâmetro)"",""1 x Frigideira com tampa, aproximadamente 1 litro (6 cm de altura x 20 cm de diâmetro)"",""1 x Panela de 1 litro (9,5 cm de altura x 15,5 cm de diâmetro)"",""1 x Panela de 1,5 litro (9,5 cm de altura x 18 cm de diâmetro)"",""1 x Panela de 2 litros (9,5 cm de altura x 23 cm de diâmetro)"",""1 x Brinde Grátis (selecionado conforme disponibilidade de estoque)""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As panelas de pedra são feitas em um processo totalmente artesanal, por isso pode haver pequenas variações nas dimensões das peças."
"dream-kitchen-cookware-set","Conjunto de Panelas de Pedra-Sabão – Cozinha dos Sonhos","Title","Default Title","Tudo o que sua cozinha precisa, em pura pedra-sabão","Frigideira + Panela 2L + Panela de Pressão 3L + Travessa de Lasanha + Pilão + Cuscuzeira 4L","Conjunto Completo","[""1 x Frigideira de 23 cm (5 cm de altura x 23 cm de diâmetro)"",""1 x Panela de 2 litros (9,5 cm de altura x 22 cm de diâmetro)"",""1 x Panela de pressão de 3 litros (14,5 cm de altura x 19 cm de diâmetro)"",""1 x Travessa de lasanha de tamanho médio"",""1 x Pilão com faixa de cobre"",""1 x Cuscuzeira/panela 3 em 1 – 4 litros (2 litros em cada seção)"",""1 x Manual de cura""]","[""Tem a capacidade de liberar gradualmente o calor contido na pedra, mantendo os alimentos quentes por cerca de 1 a 2 horas após o cozimento."",""Muito mais saudável! Estudos recentes indicam a transferência de nutrientes benéficos (Fe, Zn, Ca, Mg) da panela para a comida."",""A pedra-sabão é um material extremamente durável; se bem cuidada, durará centenas de anos."",""As panelas são naturalmente antiaderentes, facilitando muito a limpeza e o cozimento."",""Pode ser usada em fogão a gás, fogão a lenha e também no forno!""]","3 meses contra defeitos de fabricação.","As peças de pedra-sabão são enviadas novas em seu estado natural (cinza) e precisam passar por um processo de cura antes do primeiro uso — após a cura, sua peça ficará permanentemente preta (um manual de cura passo a passo está incluído). Como cada peça é totalmente artesanal e medida em litros, pequenas variações nas dimensões são normais."
